Details of Films,,,,,,,,,,Ownership Details,,,,,,Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTERNET RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Satellite TV,,,,,,,Satellite TV History,,,,,,,DTH VOD,,,,,,,Terrestrial TV,,,,,,,SVOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVOD,,,,,,,AVOD,,,,,,,,,,,,,,FVOD,,,,,,
Production No,Movie Name,Cast Details,Director,Production House,Language,Release Year,YT Trailer Link,Certification,Color/B/W,Jointly Owned,Jointly Owned by,Revenue Share,Joint Buy Back date,Remarks,Actionables,Platform/License,Category,Nature Of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category, Nature Of Rights, Start Date, End Date,Territory,Holdbacks,Platform/License,Category,Nature of Rights, Start Date, End Date,Territory,Holdbacks,Platform/License,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks ,Platform - Viacom 18,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Prime Videos,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hotstar,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hoichoi,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform - Hungama,Category,Nature of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks,Youtube,Category,Nature Of Rights,Start Date,End Date,Territory,Holdbacks,Platform/License,Category,Nature Of Rights,Start Date,End Date, Territory,Holdbacks
31,Challenge,"Dev, Subhashree Ganguly, Laboni Sarkar, Biswajit Chakraborty",Raj Chakraborty,SVF,Bengali,20-Mar-09,https://www.youtube.com/watch?v=AJMopAehI88&t=1s,U,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,7-Apr-18,31-Mar-23,World,,Star,"LIBRARY
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
31,Challenge (Bhojpuri),"Dev, Subhashree Ganguly, Laboni Sarkar, Biswajit Chakraborty",Raj Chakraborty,SVF,Bhojpuri,Unreleased,N/A,U,,No,,,,,,Open,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,
57,Challenge 2,"Dev, Pooja Bose, Tapas Paul, Ashish Vidyarthi, Kharaj Mukherjee",Raja Chanda,SVF,Bengali,19-Oct-12,https://youtu.be/CbNYpHNBbzo?si=dGeVfSgz4mqDmBIt,U/A,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Star,"BB
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
57,Challenge 2  (Oriya),"Dev, Pooja Bose, Tapas Paul, Ashish Vidyarthi, Kharaj Mukherjee",Raja Chanda,SVF,Oriya,Unreleased,N/A,Uncensored,,No,,,,,,Open,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,
14,Champion,"Jeet, Srabanti Chatterjee",Ravi Kinagi,SVF- Prop,Bengali,6-Jun-03,N/A,U/A,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
65,Chander Pahar,"Dev, Gerard Rudolf, Labani Sarkar, Tota Roy Chowdhury",Kamleshwar Mukharjee,SVF,Bengali,20-Dec-13,https://www.youtube.com/watch?v=w54LYEZE5A0,U,,No,,,,,,STAR,Star BB,Exclusive,1-Oct-20,30-Sep-25,World,2‑month holdback from first telecast,N/A,N/A,N/A,N/A,N/A,N/A,,Star,"BB
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,2‑month holdback from first telecast,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Oct-20,30-Sep-25,World,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
65,Chander Pahar (Oriya),"Dev, Gerard Rudolf, Labani Sarkar, Tota Roy Chowdhury",Kamleshwar Mukharjee,SVF,Oriya,Unreleased,N/A,U,,No,,,,,,Open,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,
146,Cheeni,"Saurav Das, Madhumita Sarkar",Mainak Bhaumik,SVF,Bengali,24-Dec-20,https://www.youtube.com/watch?v=WUNfqm9_Anc ,U,,No,,,,,,STAR,Star BB,Exclusive,15-Sep-22,14-Sep-29,World,Terrestrial Right (Until first telecast of respective licensed films on channels),N/A,N/A,N/A,N/A,N/A,N/A,,Star,"BB
(DTH Addendum)",Exclusive,25-Mar-23,24-Mar-24,World,Terrestrial Right (Until first telecast of respective licensed films on channels),Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Prime Channel,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,
134,Cheeni 2 ,"Madhumita Sarkar, Aparajita Adhya",Mainak Bhaumik,SVF,Bengali,11-Aug-23,https://www.youtube.com/watch?v=-f7ISnFAGdM,U,,No,,,,,,Open,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-exclusive,18-Nov-24,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,13-Oct-23,12-Oct-28,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
30,Chirodini Tumi Je Amar,"Rahul Banerjee, Priyanka Sarkar, Rudranil Ghosh",Raj Chakraborty,SVF- Prop,Bengali,15-Aug-08,https://www.youtube.com/watch?v=yyfEIkl1Qww,U/A,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,7-Apr-18,31-Mar-23,World,,Star,"LIBRARY
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
63,Chirodini Tumi Je Amar 2,"Arjun Chakraborty, Urmila Mahanta, Ena Saha, Riddhi Sen, Bihu Kharaj Mukherjee",Soumik Chatterjee,SVF,Bengali,11-Apr-14,https://www.youtube.com/watch?v=q5BZHYuqr7Y,U/A,,No,,,,Unexploitable,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,4-Jul-19,31-Mar-23,World,2‑month holdback from first telecast,Star,"BB
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
46,Chitrangada - The Crowning Wish,"Rituparno Ghosh, Jisshu Sengupta, Raima Sen",Rituparno Ghosh,SVF,Bengali,31-Aug-12,https://youtu.be/7prDTZhwA8U?si=FuQAmM0OtE1YHRKX,V/UA,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
46,Chitrangada - The Crowning Wish (Hindi),"Rituparno Ghosh, Jisshu Sengupta, Raima Sen",Rituparno Ghosh,SVF,Hindi,Unreleased,N/A,V/UA,,No,,,,"STAR holdback (Terrestrial TV, From 11.12.02.2018 to 10.12.2028), STAR Holdback ( TVOD, From 11.12.2018 to 10.12.2028)",,STAR,Hindi Addendum,Exclusive,11-Dec-18,10-Dec-28,World,,N/A,N/A,N/A,N/A,N/A,N/A,,Star,Hindi Addendum,Exclusive,11-Dec-18,10-Dec-28,World,,N/A,N/A,N/A,11-Dec-18,10-Dec-28,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,11-Dec-18,10-Dec-28,World,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,11-Dec-18,10-Dec-28,World,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,
15,Choker Bali,"Aishwarya Rai Bachchan, Raima Sen, Prosenjit Chatterjee, Tota Roy Chowdhury",Rituparno Ghosh,SVF- Prop,Bengali,2-Oct-03,N/A,U/A,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
45,Cholo Paltai,"Prosenjit Chatterjee, Mouli Ganguly, Rajatava Dutta, Aryann Bhowmick",Haranath Chakraborty,SVF,Bengali,4-Mar-11,https://www.youtube.com/watch?v=MzRrQG6jZAI&t=2s,U,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
81,Chotoder Chobi,"Dulal Sarkar, Debalina Roy",Kaushik Ganguly,SVF,Bengali,23-Jan-15,https://www.youtube.com/watch?v=u8xRKKtL2Oo&t=11s,U,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Star,"LIBRARY
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
87,Cinemawala,"Parambrata Chatterjee, Sohini Sarkar, Paran Bandopadhyay",Kaushik Ganguly,SVF,Bengali,13-May-16,https://youtu.be/K9_lUiinpFo?si=S6xnln-W0U6h164o,U,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
87,Cinemawala (Hindi),"Parambrata Chatterjee, Sohini Sarkar, Paran Bandopadhyay",Kaushik Ganguly,SVF,Hindi,Unreleased,N/A,U,,No,,,,"STAR holdback (Terrestrial TV, From 11.12.02.2018 to 10.12.2028), STAR Holdback ( TVOD, From 11.12.2018 to 10.12.2028)",,Open,N/A,N/A,N/A,N/A,N/A,,Star,Hindi Addendum,Exclusive,11-Dec-18,10-Dec-23,World,,Star,Hindi Addendum,Exclusive,11-Dec-18,10-Dec-28,World,2‑month holdback from first telecast,N/A,N/A,N/A,11-Dec-18,10-Dec-23,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,11-Dec-18,10-Dec-28,World,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,11-Dec-18,10-Dec-28,World,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,
126,Criss Cross,"Mimi Chakraborty, Nusrat Jahan, Jaya Ahsan, Sohini Sarkar",Birsa Dasgupta,SVF,Bengali,10-Aug-18,https://www.youtube.com/watch?v=3tIh8vUaY2o,U/A,,No,,,,,,VIACOM,Viacom Library,Exclusive,29-Nov-23,27-Nov-29,World,,Star,Star BB,Exclusive,29-Nov-18,28-Nov-23,World,2‑month holdback from first telecast,Star,"BB
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,29-Nov-23,27-Nov-29,World,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Mar-19,28-Nov-23,World,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,iTunes,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
12,Dada Thakur,"Ferdous Ahmed, Arpita Khan, Ranjit Mallick, Victor Banerjee, Laboni Sarkar",Haranath Chakraborty,SVF- Prop,Bengali,14-Dec-01,N/A,U,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
162,Dawshom Awbotaar ,"Prosenjit Chatterjee, Jisshu Sengupta, Jaya Ahsan, Anirban Bhattacharya",Srijit Mukherji,"SVF , Jio Studios",Bengali,19-Oct-23,https://www.youtube.com/watch?v=tMAyqopQrH4&t=17s,V/UA,,Yes,Jio Studios,50-50,11-Apr-28,,,STAR,Star BB,N/A,12-Jun-24,11-Jun-30,World,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,2-Feb-24,1-Feb-29,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
108,Dhananjoy,"Mimi Chakraborty, Anirban Bhattacharya",Arindam Sil,SVF,Bengali,11-Aug-17,https://www.youtube.com/watch?v=NVn8sC_YlrQ,U,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,iTunes,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
158,Dilkhush,"Soham Majumdar, Madhumita Sarkar, Paran Bandopadhyay",Chirantan Mukherjee,SVF,Bengali,20-Jan-23,https://www.youtube.com/watch?v=I6HoGd_SM-M&t=50s,UA,,No,,,,,,Open,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-exclusive,14-Jan-25,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,17-Feb-23,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
143,Dracula Sir,"Anirban Bhattacharya, Mimi Chakraborty, Rudranil Ghosh, Saayoni Ghosh",Debaloy Bhattacharya,SVF,Bengali,21-Oct-20,https://www.youtube.com/watch?v=U_Zm2IgocZI&t=56s,U,,No,,,,,,STAR,Star BB,Exclusive,15-Sep-22,14-Sep-29,World,Terrestrial Right (Until first telecast of respective licensed films on channels),N/A,N/A,N/A,N/A,N/A,N/A,,Star,"BB
(DTH Addendum)",Exclusive,25-Mar-23,24-Mar-24,World,Terrestrial Right (Until first telecast of respective licensed films on channels),Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Prime Channel,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,
143,Dracula Sir (Hindi),"Anirban Bhattacharya, Mimi Chakraborty, Rudranil Ghosh, Saayoni Ghosh",Debaloy Bhattacharya,SVF,Hindi,27-Nov-20,https://www.youtube.com/watch?v=09uG94JFlKM ,UA,,No,,,,,,Open,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,Non-Exclusive,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,
38,Dui Prithibi,"Dev, Jeet, Koel Mallick, Barkha Bisht Sengupta",Raj Chakraborty,SVF,Bengali,14-Oct-10,N/A,U/A,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Apr-23,31-Mar-29,World,,Star,Star Library,Exclusive,14-Dec-17,31-Mar-23,World,,Star,"LIBRARY
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Apr-23,31-Mar-29,World,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Viacom,N/A,N/A,25-Oct-24,31-Mar-29,World,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
132,Durgeshgarher Guptodhon,"Abir Chatterjee, Arjun Chakraborty, Esha",Dhrubo Banerjee,SVF,Bengali,24-May-19,https://www.youtube.com/watch?v=5jIv9eH5Yjw,U,,No,,,,,,VIACOM,Viacom Library,Exclusive,1-Sep-24,31-Aug-30,World,,Star,Star BB,Exclusive,1-Sep-19,31-Aug-24,World,,Star,"BB
(DTH Addendum)",Exclusive,18-Jan-22,17-Jan-24,World,,Open,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Shared-Exclusive,1-Sep-24,31-Aug-30,World,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Dec-19,31-Aug-24,World,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Prime Channel,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
140,Dwitiyo Purush,"Parambrata Chatterjee, Anirban Bhattacharya, Abir Chatterjee, Raima Sen",Srijit Mukherji,SVF,Bengali,23-Jan-20,https://www.youtube.com/watch?v=y1P3qysOMQI,U,,No,,,,,,STAR,Star BB,Exclusive,15-Sep-22,14-Sep-29,World ,Terrestrial Right (Until first telecast of respective licensed films on channels),N/A,N/A,N/A,N/A,N/A,N/A,,Star,"BB
(DTH Addendum)",Exclusive,25-Mar-23,24-Mar-24,World,Terrestrial Right (Until first telecast of respective licensed films on channels),Open,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,No,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Non-Exclusive,1-Apr-20,TBD,World,,No,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,,Open,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,,Open,,,,,,Yes
