,,,,,,,,,,,,,,,,SATELLITE RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,INTERNET RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Satellite TV,,,,,,Satellite TV History,,,,,,DTH VOD,,,,,,Terrestrial TV,,,,,,SVOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVOD,,,,,,AVOD,,,,,,,,,,,
Production No,Title,Cast,Directors,Language,Production House,Theatrical Release Date,YT Trailer Link,Censor,Nature of Right,Joint Exploitation Rights,Revenue Share,Joint Buy Back date,Holdbacks,Remarks,Actionables,Platform/License,Category,Start Date,End Date,Territory,Nature Of Rights,Platform/License,Category, Start Date, End Date,Territory, Nature Of Rights,Platform/License,Category, Start Date, End Date,Territory,Nature of Rights,Platform/License,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Viacom 18,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Prime Videos,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Hotstar,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Hoichoi,Category,Start Date,End Date,Territory,Nature of Rights,Platform - Hungama,Category,Start Date,End Date,Territory,Nature of Rights,Platform/License,Category,Start Date,End Date, Territory,Nature Of Rights,Platform/License,Category,Start Date,End Date, Territory,Nature Of Rights,Platform - Youtube,Category,Start Date,End Date,Territory,Nature Of Rights
17,Bandhan,"Jeet, Koel Mallick, Victor Banerjee",Ravi Kinagi,Bengali,SVF- Prop,17-Dec-04,N/A,U,Exclusive,,,,"on FVOD, AVOD",,,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-23,31-Mar-29,World,Shared-Exclusive,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-20,TBD,World,Non-Exclusive,No,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,Viacom,N/A,25-Oct-24,31-Mar-29,World,N/A,No,N/A,N/A,N/A,N/A,N/A
16,Raincoat,"Aishwarya Rai Bachchan, Ajay Devgn",Rituparno Ghosh,Hindi,SVF- Prop,24-Dec-04,N/A,U,Exclusive,,,,"on FVOD, AVOD","STAR holdback (Terrestrial TV, From 28.02.2019 to 27.02.2029)",,STAR,Hindi Addendum,28-Feb-19,27-Feb-29,World,Exclusive,N/A,N/A,N/A,N/A,N/A,N/A,Star,Hindi Addendum,28-Feb-19,27-Feb-29,World,Exclusive,N/A,N/A,28-Feb-19,27-Feb-29,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,28-Feb-19,27-Feb-29,World,Non-Exclusive,Yes,N/A,1-Apr-20,TBD,World,Non-Exclusive,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28-Feb-19,27-Feb-29,World,N/A,Open,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
20,Yuddha (2005),"Mithun Chakraborty, Jeet, Koel Mallick, Debashree Roy",Ravi Kinagi,Bengali,SVF- Prop,29-Jul-05,N/A,U/A,Exclusive,,,,"on FVOD, AVOD",,,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-23,31-Mar-29,World,Shared-Exclusive,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-20,TBD,World,Non-Exclusive,No,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
21,Subho Drishti,"Jeet, Koel Mallick, Parambrata Chatterjee",Prabhat Roy,Bengali,SVF,14-Apr-06,N/A,U,Exclusive,,,,"on FVOD, AVOD",,,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-23,31-Mar-29,World,Shared-Exclusive,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-20,TBD,World,Non-Exclusive,No,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
23,I Love You,"Dev, Payel Sarkar, Paoli Dam, Tapas Paul",Ravi Kinagi,Bengali,SVF- Prop,29-Sep-06,N/A,U,Exclusive,,,,"on FVOD, AVOD",,,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-23,31-Mar-29,World,Shared-Exclusive,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-20,TBD,World,Non-Exclusive,No,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
24,Refugee,"Rambha, Prosenjit Chatterjee",Haranath Chakraborty,Bengali,SVF- Prop,7-Nov-06,N/A,U/A,Exclusive,,,,"on FVOD, AVOD",,,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-23,31-Mar-29,World,Shared-Exclusive,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-20,TBD,World,Non-Exclusive,No,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
25,Kranti,"Jeet, Swastika Mukherjee",Ringo Banerjee,Bengali,SVF- Prop,19-Jan-07,https://www.youtube.com/watch?v=97cHlK_4IY0,U/A,Exclusive,,,,"on FVOD, AVOD",,,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-23,31-Mar-29,World,Shared-Exclusive,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-20,TBD,World,Non-Exclusive,No,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
26,Minister Phatakesto,"Mithun Chakraborty, Koel Mallick, Debashree Roy, Soumitra Chatterjee",Swapan Saha,Bengali,SVF- Prop,8-Aug-07,https://www.youtube.com/watch?v=g9S8f-YsA6k&ab_channel=SVF,U,Exclusive,,,,"on FVOD, AVOD",,,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-23,31-Mar-29,World,Shared-Exclusive,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-20,TBD,World,Non-Exclusive,No,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
28,Premer Kahini,"Dev, Koel Mallick, Ranjit Mallick, Jisshu Sengupta, Mousami Saha, Kalyani Mondal",Ravi Kinagi,Bengali,SVF- Prop,11-Apr-08,N/A,U,Exclusive,,,,"on FVOD, AVOD",,,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Star,"LIBRARY
(DTH Addendum)",18-Jan-22,17-Jan-24,World,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-23,31-Mar-29,World,Shared-Exclusive,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-20,TBD,World,Non-Exclusive,No,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
22,MLA Phatakesto,"Mithun Chakraborty, Koel Mallick, Debashree Roy, Soumitra Chatterjee",Swapan Saha,Bengali,SVF- Prop,23-Jun-08,N/A,U,Exclusive,,,,"on FVOD, AVOD",,,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,Star,Star Library,14-Dec-17,31-Mar-23,World,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-23,31-Mar-29,World,Shared-Exclusive,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1-Apr-20,TBD,World,Non-Exclusive,No,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
