Production No,Title,Cast,Director,Language,Production House,Theatrical Release Date,YT Trailer Link,Censor,Nature of Right,"Satellite TV License
(Open/Channel)",Category,Satellite TV Start Date,Satellite TV End Date,Satellite TV Territory,Nature of Satellite TV License,Previous Satellite TV Categorization,Previous Satellite TV Start Date,Previous Satellite TV End Date,Previous Satellite TV Territory,Previous Satellite TV Nature,"DTH VOD License
(Open/Channel)",DTH VOD Start Date,DTH VOD End Date,DTH VOD Territory,Nature of DTH VOD License,"Terrestrial TV License
[Open/Channel]","Terrestrial Tv [Holdback]
Start Date","Terrestrial TV
[Holdback]
End Date",Terrestrial TV Territory,Nature of Terrestrial TV Rights,"Viacon 18
[SVOD]","Nature of Rights
(on date)",Start Date,End Date,Territory,"Prime Videos
[SVOD]","Nature of Rights
(on date)",Category,Start Date,End Date,Territory,"Hotstar
 [SVOD]",Nature of Rights ,Start Date,End Date,Territory,"Hoichoi
[Non-Exclusive, SVOD]",Start Date,End Date,Territory,Hungama,Start Date,End Date,Territory,"TVOD
License",TVOD Start Date,TVOD End Date,TVOD Territory,FVOD Holdback,AVOD License,AVOD Start Date,AVOD End Date,AVOD Territory,AVOD Holdback,YT,Others,Rights Granted,Nature of Rights Granted,Start Date,End Date,Territory,Remarks,Actionable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
145,Kakababu'r Protyaborton (Hindi)," Prosenjit Chaterjee, Aryan Bhoumik",Srijit Mukherji,Hindi Dubbed,SVF,4-Feb-22,https://www.youtube.com/watch?v=yKJCUwOnMnY ,U,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,No,Open,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,The Eken,"Anirban Chakraborty, Paayel Sarkar, Somak Ghosh, Suhotro Mukhopadhyay & Others",Joydeep Mukherjee,Bengali,SVF,14-Apr-22,https://www.youtube.com/watch?v=6_J-w4vH-88,U,Exclusive,STAR,Star BB,15-Sep-22,14-Sep-29,World,Exclusive,N/A,N/A,N/A,N/A,N/A,"STAR- BB
(DTH Addendum)",25-Mar-23,24-Mar-24,World,Exclusive,Open,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,Non-Exclusive,15-Sep-22,14-Sep-29,World,Yes,3-Jun-22,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,No,Open,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,X = Prem,"Anindya Sengupta, Shruti Das, Arjun Chakrabarty & Others",Srijit Mukherji,Bengali,SVF,3-Jun-22,https://www.youtube.com/watch?v=QF7hmdXgnDM,V/UA,Exclusive,VIACOM,Viacom Library,1-Apr-23,31-Mar-29,World,Exclusive,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Shared-Exclusive,1-Apr-23,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,15-Jul-22,TBD,World,No,N/A,N/A,N/A,Prime Channel,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Kuler Achaar,"Madhumita Chakraborty, Vikram Chatterjee, Indrani Haldar & Others",Sudeep Das,Bengali,SVF,15-Jul-22,https://www.youtube.com/watch?v=eOzgWc5Yx18,U,Exclusive,STAR,Star BB,15-Sep-22,14-Sep-29,World,Exclusive,N/A,N/A,N/A,N/A,N/A,"STAR- BB
(DTH Addendum)",25-Mar-23,24-Mar-24,World,Exclusive,Open,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,Non-Exclusive,15-Sep-22,14-Sep-29,World,Yes,9-Sep-22,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,No,Open,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Byomkesh Hatyamancha,"Abir Chatterjee, Suhotro Mukhopadhyay, Sohini Sarkar, Paoli Dam & Others",Arindam Sil,Bengali,SVF & Camellia ,11-Aug-22,https://www.youtube.com/watch?v=6XcoRH8aa4E&t=25s,UA,Jointly Owned,STAR,N/A,26-Dec-23,25-Dec-33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,14-Oct-22,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,No,Open,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Karnasubarner Guptodhan,"Abir Chatterjee, Arjun Chakraborty, Isha Saha & Others",Dhrubo Banerjee,Bengali,SVF,30-Sep-22,https://www.youtube.com/watch?v=po8pDIsA7rs,U,Exclusive,STAR,Star BB,15-Apr-23,Perpetual,World,Exclusive,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,Non-Exclusive,15-Apr-23,14-Apr-30,World,Yes,16-Dec-22,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,No,Open,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Ballavpurer Roopkotha,"Satyam Bhattacharya, Surangana Bandopadhyay & Others",Anirban Bhattacharya,Bengali,SVF,21-Oct-22,https://www.youtube.com/watch?v=NER2p1UmdAY,U,Exclusive,STAR,Star BB,30-Apr-23,Perpetual,World,Exclusive,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,Non-Exclusive,30-Apr-23,29-Apr-30,World,Yes,12-Jan-23,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,No,Open,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Khela Jawkhon,"Mimi Chakraborty, Arjun Chakraborty, Susmita Chatterjee & Others",Arindam Sil,Bengali,"SVF, Camellia & Rajpratim",2-Dec-22,https://www.youtube.com/watch?v=pXp6QegNmXc&t=24s,UA,Jointly Owned,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Non-exclusive,18-Nov-24,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Viacom,18-Nov-24,31-Mar-29,World,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Dilkhush,"Soham Majumdar, Madhumita Sarkar, Paran Bandopadhyay & Others",Chirantan Mukherjee,Bengali,SVF,20-Jan-23,https://www.youtube.com/watch?v=I6HoGd_SM-M&t=50s,UA,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Non-exclusive,14-Jan-25,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,17-Feb-23,TBD,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,The Eken - Ruddhoshwash Rajasthan,"Anirban Chakraborty, Rajatava Dutta, Somak Ghosh, Suhotro Mukhopadhyay & Others",Joydeep Mukherjee,Bengali,SVF,14-Apr-23,https://www.youtube.com/watch?v=1qJ1r0mdr_U&t=21s,U,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Non-exclusive,18-Nov-24,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,16-Jun-23,15-Jun-25,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Abar Bibaho Obhijan,"Rudranil Ghosh, Nusrat Faria & Others",Soumik Halder,Bengali,SVF,25-May-23,https://www.youtube.com/watch?v=HQtE7sG3jf4&t=30s,U,Exclusive,STAR,Star BB,21-Jul-23,20-Jul-30,World,Exclusive,N/A,N/A,N/A,N/A,N/A,"STAR- BB
(DTH Addendum)",21-Jul-23,20-Jul-24,World,Exclusive,STAR Holdback,Release of the Film,Until 27-Aug-2023,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,Non-Exclusive,21-Jul-23,20-Jul-24,World,Yes,21-Jul-23,20-Jul-28,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,No,Open,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Cheeni 2 ,"Madhumita Sarkar, Aparajita Adhya",Mainak Bhaumik,Bengali,SVF,11-Aug-23,https://www.youtube.com/watch?v=-f7ISnFAGdM,U,Exclusive,Open,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Yes,Non-exclusive,18-Nov-24,31-Mar-29,World,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,13-Oct-23,12-Oct-28,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,Open,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Dawshom Awbotaar ,"Prosenjit Chatterjee, Jisshu Sengupta, Jaya Ahsan, Anirban Bhattacharya",Srijit Mukherji,Bengali,SVF & Jio Studios,19-Oct-23,https://www.youtube.com/watch?v=tMAyqopQrH4&t=17s,V/UA,Jointly Owned,STAR,Star BB,12-Jun-24,11-Jun-30,World,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,2-Feb-24,1-Feb-29,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Bogla Mama,"Kharaj Mukherjee, Riddhi Sen, Reshmi Sen, Koushik Sen & Others",Dhrubo Banerjee ,Bengali,SVF & Jio Studios,24-Nov-23,https://www.youtube.com/watch?v=ZRJl8afPGIM&pp=ygUXYm9nbGEgbWFtYSBzdmYgdHJhaWxlciA%3D,U,Jointly Owned,STAR,Star BB,9-Jun-24,8-Jun-30,World,N/A,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,Open,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,8-Mar-24,7-Mar-29,World,No,N/A,N/A,N/A,Open,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
